Regions,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Republic of Uzbekistan,96.44391977412133,144.43141381205496,205.63304552900863,253.849591476746,297.7950503394628,371.7888447280926,489.0832913226223,627.9859422831375,838.5545093613296,1111.4558371619655,2192.797569850554,2928.9440824652243,3501.767736444862,4175.086386326936,4759.553368196629,5410.550904901464,6215.871181139204,7314.090417637576,9128.58900095814,10891.342726328316,12122.210461669963,14869.823994009796,17807.316314714662
Republic of Karakalpakstan,60.6310891089109,90.99667427453537,120.62533152209068,142.6746143958869,159.62098268481247,203.2475650900757,289.6571686169162,367.2930252617098,519.8648556854298,666.9633249760059,1498.8667148229774,1972.2255492061136,2414.388631830359,2856.633659869702,3317.0692453169363,3908.008089113486,4371.983487077452,5233.133641285612,6808.7393633663,8136.218642838029,9436.572398118704,11286.51966278144,13253.440819037272
Andijan,111.19629309953208,164.8372311827957,238.86967086370663,268.51839260808924,289.36523496281006,328.6142923748569,426.3712518379324,511.8912188933416,673.9302836005605,849.0810987530737,1838.060708121048,2523.901034690866,2945.8472286303395,3754.4975565844097,4267.593826151451,4834.966441800344,5637.298198850929,6777.715616831501,8411.955251008274,9941.54561938397,10765.912342360854,12946.099154416812,15727.257151032996
Bukhara,87.55568778438922,137.75990047688157,192.3752218430034,239.38090418353573,278.8824471278938,342.3512889826597,466.1967850369573,639.2315266542417,821.0861038710358,1048.7346528673895,2524.428950920428,3505.635715394585,4145.209566519093,4953.995802377575,5698.883053189118,6411.611419451189,7354.155126696826,8823.025474035336,11270.649622558763,13075.65453547506,14675.536776612496,18133.37756274825,21381.97198853338
Jizzakh,54.15410436374733,89.28610054075706,139.04700770294292,168.94381035996486,191.92198649951783,216.81371144848657,312.3820564232525,376.65669793913673,535.5304543208301,712.8857480880346,1810.66304317314,2440.9564894571467,2905.4688688759597,3385.515780933972,4099.007796931475,4809.60901577261,5459.375802712557,6498.377347167326,8512.905780472885,9723.338583604556,10951.691734695996,13243.985216251816,15221.196587337085
Kashkadarya,72.39229118144037,110.12870001343424,154.1484038343154,199.60297991794428,227.9578791092258,270.82508856011674,351.17397554930307,433.72975896754974,577.7617618651071,731.7431153124478,1896.379594447991,2598.95672869646,3096.665843847521,3685.699435055447,4179.393081643054,4642.724096529633,5498.368839688892,6442.429625881709,7827.879855772442,9149.627364565114,10199.02825852659,12180.769282299289,14678.91124167483
Navoi,117.73729674796748,173.71090107120355,215.4606995110944,354.3755610972569,448.89023785926656,540.7749845964264,731.4225476978636,1018.0728290067108,1385.009330535294,1726.4058005032473,3881.5580390163454,5053.804338695278,5527.691010853419,6471.893831085615,7377.712493452836,8761.386236216358,9745.022485687196,11139.57771590388,13921.376376468848,16926.923156889377,19922.460271085925,24764.95367013132,27420.43469118204
Namangan,65.27198638262753,100.9908536585366,152.6599439495546,177.58000098614465,184.41753328797745,242.4082551235396,329.6360010243575,440.7155129157994,571.8114149888164,753.4957798651488,1566.731071468923,2169.965882322493,2644.007915850656,3168.0851317551696,3636.539045505383,4113.231125058212,4745.476781349044,5733.287179616245,6887.582958148681,8293.090637759,9258.752596987502,11353.50053189606,13880.7422848872
Samarkand,74.65426362352243,103.15165390673651,142.74168622495034,182.41234506339936,203.6642661420642,246.9646741012676,313.89675776363634,413.8488610527245,568.7971121382602,736.8836644115075,2029.0245024547596,2619.5627659408506,3029.936012544938,3654.564652957053,4207.265423150007,4630.985537621716,5603.427037794465,6594.114995794866,8087.69686749367,9447.850335000445,10522.776829051652,12919.039142632942,15534.178598957373
Surkhandarya,66.22315369261477,98.33661869294954,147.13522583484624,181.57610987941385,220.7333475207491,273.9921465968587,385.7670735493465,468.3977691860541,596.1228583494747,774.5581162755307,1718.442274169614,2511.528718038373,3064.9323667241247,3530.851596024256,4054.528820845743,4560.778945134951,5079.80562447265,5946.538666381229,7622.479145885256,8905.960686014316,9744.99101576574,11824.079586575614,14597.164401053757
Syrdarya,75.20739823556725,106.59464422341242,136.61307901907358,174.5863725048777,214.10262529832937,277.21953750370585,374.694074849327,481.7156162025408,686.4864517289936,890.0341465601588,2215.060824549627,3124.8093873579564,3600.329901798902,4489.511592026198,5010.898639419567,5813.907406464292,6772.085464948459,6833.5253338547545,8353.510753278046,9998.439897895372,10938.256113720216,12794.621618186007,15124.076554369578
Tashkent,91.16740106770612,141.0998571668627,192.66000333166755,267.2308041799182,312.4051120304755,363.551644242104,486.8669165068397,609.0233778478288,856.7163606483875,1086.8216078702733,2433.315012067448,3285.324234349713,3955.1424894792576,4531.292214722746,5225.980984214961,6123.746214136106,6749.885507533956,7667.06180774912,9401.56213474854,11296.208169169571,13129.413273254557,16259.994653289892,18129.385649420627
Fergana,105.4679970160388,148.31600088443398,219.93776613167373,250.74884991374356,267.7932697422077,309.9242281198643,388.5576023425316,495.41182721984745,619.2780107853857,781.4255867931105,1722.9767060038262,2295.244792615957,2918.018865863506,3399.265098650686,3857.202009557659,4418.305044721875,4994.059016651385,5600.327360938264,7096.8341941895,8111.824310462555,8853.519531260685,11276.89106853524,13607.91695040355
Khorezm,73.59627189699057,109.76172248803827,148.73342511412216,163.41039554476654,199.42033063665144,258.8089794221576,368.1524796359917,445.1248892178981,594.7054116426411,780.9552512935584,2105.336540603414,2815.801981996928,3362.788441189376,4066.035267351525,4629.14575922574,5052.183169356051,5840.320051250917,7217.989495933811,9536.14376467812,11213.413942279847,12270.61326896314,15756.421425087492,19643.50511033234
Tashkent city,244.33526470725675,380.343855029789,558.5982973946396,692.4474804660084,910.1445563099976,1269.8598288199803,1619.8282691281988,2139.494422769842,2872.783263452408,4163.985742189936,4505.917339532605,5640.86975130486,6867.657328187751,8306.846639700503,9251.91302320322,10614.425854258305,12316.066198334276,14921.086312335936,18432.051173415333,23674.309119900998,25543.60366384848,30511.09201384401,37518.01128234328
